college,state,cds_link1,cds_link2,cds_link3,cds_link4,cds_link5
Atlantic Cape Community College,New Jersey,N/A,,,,
Bais Medrash Toras Chesed,New Jersey,N/A,,,,
Bergen Community College,New Jersey,N/A,,,,
Berkeley College,New Jersey,N/A,,,,
Beth Medrash Govoha,New Jersey,N/A,,,,
Brookdale Community College,New Jersey,N/A,,,,
Caldwell University,New Jersey,N/A,,,,
Camden County College,New Jersey,N/A,,,,
Centenary University,New Jersey,N/A,,,,
County College of Morris,New Jersey,N/A,,,,
DeVry University,New Jersey,N/A,,,,
Divers Academy International,New Jersey,N/A,,,,
Drew Theological School ,New Jersey,N/A,,,,
Drew University,New Jersey,https://drew.edu/about/institutional-research/,,,,
Eastern International College,New Jersey,N/A,,,,
Eastwick College,New Jersey,N/A,,,,
Essex County College,New Jersey,N/A,,,,
Fairleigh Dickinson University,New Jersey,https://www.fdu.edu/about/university-leadership-offices/office-of-institutional-research-and-assessment/,,,,
Felician University,New Jersey,N/A,,,,
Georgian Court University,New Jersey,N/A,,,,
Hudson County Community College,New Jersey,N/A,,,,
Jersey College,New Jersey,N/A,,,,
Kean University,New Jersey,N/A,,,,
Lincoln Technical Institute,New Jersey,N/A,,,,
Mercer County Community College,New Jersey,N/A,,,,
Mesivta Keser Torah,New Jersey,N/A,,,,
Middlesex College,New Jersey,N/A,,,,
Monmouth University,New Jersey,N/A,,,,
Montclair State University,New Jersey,https://www.montclair.edu/provost/common-data-set/,,,,
New Brunswick Theological Seminary,New Jersey,N/A,,,,
New Jersey City University,New Jersey,N/A,,,,
New Jersey Institute of Technology,New Jersey,https://www.njit.edu/oie/external-surveys,,,,
Ocean County College,New Jersey,N/A,,,,
Passaic County Community College,New Jersey,N/A,,,,
Pillar College,New Jersey,N/A,,,,
Princeton Theological Seminary,New Jersey,N/A,,,,
Princeton University,New Jersey,https://registrar.princeton.edu/enrollment#comp000048a59a9e00000006304217,,,,
Rabbi Jacob Joseph School,New Jersey,N/A,,,,
Rabbinical College of America,New Jersey,N/A,,,,
Ramapo College,New Jersey,https://www.ramapo.edu/ir/data-reports/common-data-set/,,,,
Raritan Valley Community College,New Jersey,N/A,,,,
Rider University,New Jersey,N/A,,,,
Rowan College at Burlington County,New Jersey,N/A,,,,
Rowan College of South Jersey,New Jersey,N/A,,,,
Rowan University,New Jersey,https://sites.rowan.edu/academic-affairs/oira/_docs/rowan_university_cds.pdf,https://irt.rowan.edu/_docs/asa/cds-2022-2023.pdf,https://irt.rowan.edu/_docs/asa/cds_2021-2022.pdf,,
Rutgers University,New Jersey,https://oirap.rutgers.edu/ReportingCommonDataSet.html,,,,
Saint Elizabeth University,New Jersey,N/A,,,,
Salem Community College,New Jersey,N/A,,,,
Seton Hall University,New Jersey,https://www.shu.edu/institutional-research/reports.html,,,,
St. Peter's University,New Jersey,N/A,,,,
Stevens Institute of Technology,New Jersey,https://www.stevens.edu/office-of-institutional-research-and-effectiveness/facts-and-figures,,,,
Stockton University,New Jersey,https://stockton.edu/institutional-research/analysis.html,,,,
Strayer University,New Jersey,N/A,,,,
Sussex County Community College,New Jersey,N/A,,,,
Talmudical Academy of Central New Jersey,New Jersey,N/A,,,,
The College of New Jersey,New Jersey,https://ira.tcnj.edu/reports/common-data-set-2/,,,,
Thomas Edison State University,New Jersey,N/A,,,,
Union County College,New Jersey,N/A,,,,
University of Phoenix,New Jersey,Closed,,,,
Warren County Community College,New Jersey,N/A,,,,
William Paterson University,New Jersey,https://www.wpunj.edu/institutional-effectiveness/commondataset/,,,,
Yeshiva Gedola Zichron Leyma,New Jersey,N/A,,,,
Yeshiva Toras Chaim,New Jersey,N/A,,,,
Yeshivas Be'er Yitzchok,New Jersey,N/A,,,,
Yeshivat Yesodei HaTorah,New Jersey,N/A,,,,
Brookline College,New Mexico,N/A,,,,
Burrell College of Osteopathic Medicine,New Mexico,N/A,,,,
Carrington College,New Mexico,N/A,,,,
Central New Mexico Community College,New Mexico,N/A,,,,
Clovis Community College,New Mexico,N/A,,,,
Diné College,New Mexico,N/A,,,,
Doña Ana Community College,New Mexico,N/A,,,,
Eastern New Mexico University,New Mexico,N/A,,,,
Institute of American Indian Arts,New Mexico,N/A,,,,
Luna Community College,New Mexico,N/A,,,,
Mesalands Community College,New Mexico,N/A,,,,
Navajo Technical University,New Mexico,N/A,,,,
New Mexico Highlands University,New Mexico,https://www.nmhu.edu/institutional-research/comon-data-set/,,,,
New Mexico Institute of Mining and Technology,New Mexico,https://nmt.edu/academicaffairs/research/common.php,,,,
New Mexico Junior College,New Mexico,N/A,,,,
New Mexico Military Institute,New Mexico,N/A,,,,
New Mexico State University,New Mexico,https://oia.nmsu.edu/nmsudata/natrept1/cds.html,,,,
Northern New Mexico College,New Mexico,N/A,,,,
Pima Medical Institute,New Mexico,N/A,,,,
San Juan College,New Mexico,N/A,,,,
Santa Fe Community College,New Mexico,N/A,,,,
Southern Methodist University,New Mexico,N/A,,,,
Southwest Acupuncture College,New Mexico,Closed,,,,
Southwestern College,New Mexico,N/A,,,,
Southwestern Indian Polytechnic Institute,New Mexico,N/A,,,,
St. John's College,New Mexico,N/A,,,,
Trinity Southwest University,New Mexico,N/A,,,,
University of New Mexico,New Mexico,https://oia.unm.edu/facts-and-figures/common-data-set.html,,,,
University of Phoenix,New Mexico,N/A,,,,
University of the Southwest,New Mexico,N/A,,,,
Western New Mexico University,New Mexico,N/A,,,,
Academy for Jewish Religion,New York,N/A,,,,
Adelphi University,New York,https://www.adelphi.edu/institutional-research/research/data/?trkid=V3ADW163613_____x_c__&atrkid=V3ADW88C07CC4_m_20733375263_x_c&utm_source=google&utm_medium=cpc&utm_term=&utm_content=!acq!v3!_m_20733375263_x_c&utm_campaign=Prospecting%3A+Performance+Max%3A+Grad%3A+HS%3A+Nutrition&gad_source=1&gclid=CjwKCAjwkJm0BhBxEiwAwT1AXB20zobKC3ipNgfe6HFIoQcXhODkmc902NoVMupvRTOD49hFu1CToBoCUPAQAvD_BwE,,,,
Albany College of Pharmacy and Health Sciences,New York,N/A,,,,
Albany Law School,New York,N/A,,,,
Albany Medical College ,New York,N/A,,,,
Albert Einstein College of Medicine,New York,N/A,,,,
Alfred University,New York,https://www.alfred.edu/about/institutional-research/common-data-sets.cfm,,,,
American Academy McAllister Institute,New York,N/A,,,,
American Academy of Dramatic Arts,New York,N/A,,,,
American Musical and Dramatic Academy,New York,N/A,,,,
Bank Street College of Education,New York,N/A,,,,
Bard College,New York,N/A,,,,
Barnard College,New York,https://barnard.edu/institutional-effectiveness/common-data-set,,,,
Baruch College,New York,https://ir.baruch.cuny.edu/common-data-sets/,,,,
Beis Medrash Heichal Dovid,New York,N/A,,,,
Berkeley College,New York,N/A,,,,
Beth Hamedrash Shaarei Yosher Institute,New York,N/A,,,,
Beth Hatalmud Rabbinical College,New York,N/A,,,,
Boricua College,New York,N/A,,,,
Brooklyn Law School,New York,N/A,,,,
Bryant & Stratton College,New York,N/A,,,,
Canisius University,New York,https://www.canisius.edu/sites/default/files/documents/CDS_2023-2024.pdf,,,,
Central Yeshiva Tomchei Tmimim-Lubavitch,New York,N/A,,,,
Clarkson University ,New York,https://datadigest.clarkson.edu/reports.php,,,,
Cold Spring Harbor Laboratory School of Biological Sciences,New York,N/A,,,,
Colgate Rochester Crozer Divinity School,New York,N/A,,,,
Colgate University,New York,https://www.colgate.edu/about/offices-centers-institutes/office-institutional-analysis/common-data-set,,,,
College of Westchester,New York,N/A,,,,
Columbia University,New York,https://opir.columbia.edu/cds,,,,
Cooper Union,New York,N/A,,,,
Cornell University,New York,https://irp.dpb.cornell.edu/common-data-set,,,,
Culinary Institute of America ,New York,N/A,,,,
CUNY Baruch College,New York,https://ir.baruch.cuny.edu/common-data-sets/,Link may not work,,,
CUNY Borough of Manhattan Community College,New York,https://www.bmcc.cuny.edu/academics/iea/facts-and-statistics/,,,,
CUNY Bronx Community College,New York,N/A,,,,
CUNY Brooklyn College,New York,N/A,,,,
CUNY City College,New York,https://www.ccny.cuny.edu/institutionalresearch/cds?srsltid=AfmBOoqs6c3UqVyUYvEIM9pnvL9BqXSLvBm0JCUh1hF8jlFdusNYfQdE,,,,
CUNY College of Staten Island,New York,N/A,,,,
CUNY Graduate Center ,New York,N/A,,,,
CUNY Graduate School of Journalism,New York,N/A,,,,
CUNY Guttman Community College,New York,N/A,,,,
CUNY Hostos Community College,New York,N/A,,,,
CUNY Hunter College,New York,N/A,,,,
CUNY John Jay College of Criminal Justice,New York,https://www.jjay.cuny.edu/about/governance-senior-leadership/institutional-effectiveness/office-institutional-research/external-reports,,,,
CUNY Kingsborough Community College,New York,N/A,,,,
CUNY LaGuardia Community College,New York,N/A,,,,
CUNY Law School,New York,N/A,,,,
CUNY Lehman College,New York,N/A,,,,
CUNY Medgar Evers College,New York,N/A,,,,
CUNY New York City College of Technology ,New York,N/A,,,,
CUNY Queens College,New York,https://www.qc.cuny.edu/ie/college-rankings-and-ratings/,,,,
CUNY Queensborough Community College,New York,N/A,,,,
CUNY School of Medicine,New York,N/A,,,,
CUNY School of Professional Studies,New York,N/A,,,,
CUNY School of Public Health ,New York,N/A,,,,
CUNY William E. Macaulay Honors College,New York,N/A,,,,
CUNY York College,New York,https://www.york.cuny.edu/institutional-effectiveness/facts/key-metrics,,,,
D'Youville University,New York,N/A,,,,
Daemen University ,New York,https://www.daemen.edu/about/fast-facts/institutional-research,,,,
Darkei Noam Rabbinical College,New York,N/A,,,,
Davis College ,New York,N/A,,,,
DeVry University,New York,N/A,,,,
Dominican University,New York,N/A,,,,
Elim Bible Institute and College,New York,N/A,,,,
Elmezzi Graduate School of Molecular Medicine,New York,N/A,,,,
Elmira College,New York,N/A,,,,
Excelsior University,New York,N/A,,,,
Fei Tan College,New York,N/A,,,,
Finger Lakes Health College of Nursing,New York,N/A,,,,
Five Towns College,New York,N/A,,,,
Fordham University,New York,https://www.fordham.edu/about/leadership-and-administration/administrative-offices/office-of-the-provost/provost-office-units/institutional-research-and-assessment/consumer-information/common-data-set/,,,,
General Theological Seminary,New York,N/A,,,,
Gerstner Sloan Kettering Graduate School of Biomedical Science,New York,N/A,,,,
Hamilton College,New York,https://www.hamilton.edu/offices/oir/common-data-sets,,,,
Hartwick College,New York,https://www.hartwick.edu/about-us/institutional-research-effectiveness/hartwick-data/,,,,
Hebrew Union College-Jewish Institute of Religion,New York,N/A,,,,
Helene Fuld College of Nursing,New York,N/A,,,,
Hilbert College,New York,https://www.hilbert.edu/about/institutional-research-assessment/institutional-research/common-data-set,,,,
Hobart and William Smith Colleges ,New York,https://www.hws.edu/offices/irp/common-data-set.aspx,,,,
Hofstra University,New York,https://www.hofstra.edu/institutional-research-strategic-analysis/,,,,
Holy Trinity Orthodox Seminary,New York,N/A,,,,
Houghton University,New York,N/A,,,,
Icahn School of Medicine at Mount Sinai ,New York,N/A,,,,
Iona University,New York,N/A,,,,
Island Drafting and Technical Institute,New York,N/A,,,,
Ithaca College,New York,https://www.ithaca.edu/analytics-and-institutional-research/common-data-set,,,,
Jewish Theological Seminary of America,New York,N/A,,,,
Juilliard School,New York,N/A,,,,
Kehilath Yakov Rabbinical Seminary,New York,N/A,,,,
Keuka College,New York,https://www.keuka.edu/about/your-right-know,,,,
Le Moyne College,New York,https://www.lemoyne.edu/institutional-research/,,,,
LIM College,New York,N/A,,,,
Long Island University ,New York,N/A,,,,
Machzikei Hadath Rabbinical College,New York,N/A,,,,
Mandl College of Allied Health,New York,N/A,,,,
Manhattan School of Music ,New York,N/A,,,,
Manhattan University,New York,https://inside.manhattan.edu/offices/institutional-research-assessment/institutional-research/externally-reported-data.php,,,,
Manhattanville University ,New York,N/A,,,,
Maria College,New York,N/A,,,,
Marist College ,New York,https://www.marist.edu/offices/institutional-research/factbook,,,,
Marymount Manhattan College,New York,N/A,,,,
Mercy University,New York,N/A,,,,
Mercy University,New York,N/A,,,,
Mesivta Torah Vodaath Seminary,New York,N/A,,,,
Metropolitan College of New York,New York,N/A,,,,
Mirrer Yeshiva Central Institute,New York,N/A,,,,
Molloy University,New York,N/A,,,,
Monroe College,New York,N/A,,,,
Mount Saint Mary College,New York,N/A,,,,
Mount Sinai Phillips School of Nursing,New York,N/A,,,,
Nazareth University ,New York,https://www2.naz.edu/institutional-research/common-data-set,,,,
New York Academy of Art,New York,N/A,,,,
New York Conservatory for Dramatic Arts,New York,N/A,,,,
New York Film Academy,New York,N/A,,,,
New York Graduate School of Psychoanalysis ,New York,N/A,,,,
New York Institute of Technology,New York,N/A,,,,
New York Law School ,New York,N/A,,,,
New York School for Medical & Dental Assistants,New York,N/A,,,,
New York School of Interior Design,New York,N/A,,,,
New York University ,New York,https://www.nyu.edu/employees/resources-and-services/administrative-services/institutional-research/factbook.html,,,,
Niagara University,New York,N/A,,,,
Northeast College of Health Sciences,New York,N/A,,,,
Northeast Institute of Biblical and Theological Studies,New York,N/A,,,,
Ohr Somayach Tanenbaum Education Center,New York,N/A,,,,
Pace University,New York,https://www.pace.edu/opair/university-facts-and-figures,,,,
Pacific College of Oriental Medicine,New York,N/A,,,,
Paul Smith's College,New York,N/A,,,,
Plaza College,New York,N/A,,,,
Pomeroy College of Nursing at Crouse Hospital,New York,N/A,,,,
Pratt Institute,New York,https://www.pratt.edu/administrative-departments/office-of-the-provost/office-of-institutional-research-and-assessment/institute-and-ipeds-reports/,,,,
Rabbinical College Beth Shraga,New York,N/A,,,,
Rabbinical College Bobover Yeshiva B'nei Zion,New York,N/A,,,,
Rabbinical College Ch'san Sofer of New York,New York,N/A,,,,
Rabbinical College of Long Island,New York,N/A,,,,
Rabbinical Seminary Adas Yereim,New York,N/A,,,,
Relay Graduate School of Education,New York,N/A,,,,
Rensselaer Polytechnic Institute ,New York,https://provost.rpi.edu/institutional-research-and-assessment,,,,
Richard Gilder Graduate School,New York,N/A,,,,
Roberts Wesleyan University,New York,N/A,,,,
Rochester Institute of Technology,New York,https://www.rit.edu/institutionalresearch/common-data-set,,,,
Rockefeller University,New York,N/A,,,,
Russell Sage College,New York,N/A,,,,
Samaritan Hospital School of Nursing,New York,N/A,,,,
Sarah Lawrence College,New York,https://www.sarahlawrence.edu/about/,https://www.sarahlawrence.edu/media/about/pdf/sarah-lawrence-common-data-set.pdf,,,
School of Visual Arts,New York,N/A,,,,
Shor Yoshuv Rabbinical College,New York,N/A,,,,
Siena College,New York,https://www.siena.edu/offices/oie/institutional-research/common-data-set/,,,,
Skidmore College,New York,https://www.skidmore.edu/ir/facts/common/index.php,,,,
Sotheby's Institute of Art,New York,N/A,,,,
St John Fisher University,New York,https://www.sjf.edu/media/services/institutional-research/documents/CommonDataSet.pdf,,,,
St John's University,New York,https://www.stjohns.edu/sites/default/files/2019-02/cds_2017-2018.web_.pdf,,,,
St. Bernard's School of Theology and Ministry,New York,N/A,,,,
St. Bonaventure University,New York,N/A,,,,
St. Elizabeth College of Nursing,New York,N/A,,,,
St. Francis College,New York,N/A,,,,
St. Joseph's College of Nursing,New York,N/A,,,,
St. Joseph's Seminary and College,New York,N/A,,,,
St. Joseph's University,New York,N/A,,,,
St. Lawrence University,New York,https://www.stlawu.edu/offices/institutional-research/common-data-set-cds,,,,
St. Nersess Armenian Seminary,New York,N/A,,,,
St. Peter’s Hospital College of Nursing,New York,N/A,,,,
St. Thomas Aquinas College,New York,N/A,,,,
St. Vladimir's Orthodox Theological Seminary,New York,N/A,,,,
SUNY Adirondack Community College,New York,N/A,,,,
SUNY Alfred State College,New York,N/A,,,,
SUNY Binghamton University,New York,https://www.binghamton.edu/offices/oir/institutional-data/common-data-set.html,,,,
SUNY Brockport,New York,https://www.brockport.edu/support/research-analysis/data-reports/common-set/,,,,
SUNY Broome Community College ,New York,N/A,,,,
SUNY Buffalo State College,New York,https://institutionalresearch.buffalostate.edu/common-data-set,,,,
SUNY Canton,New York,https://www.canton.edu/research/cds.html,,,,
SUNY Cayuga County Community College,New York,N/A,,,,
SUNY Clinton Community College ,New York,N/A,,,,
SUNY Cobleskill,New York,https://www.cobleskill.edu/about/institutional-research/surveys.aspx,,,,
SUNY College of Environmental Science and Forestry,New York,https://www.esf.edu/institutional-research/institutional-data.php,,,,
SUNY Columbia-Greene Community College,New York,N/A,,,,
SUNY Corning Community College ,New York,N/A,,,,
SUNY Cortland,New York,https://www2.cortland.edu/offices/institutional-research-and-analysis/external-reporting/common-data-set/index.dot,,,,
SUNY Delhi,New York,https://www.delhi.edu/academics/assessment/pdfs/CDS_2013-2014.pdf,,,,
SUNY Downstate Health Sciences University,New York,N/A,,,,
SUNY Dutchess Community College,New York,N/A,,,,
SUNY Empire State University,New York,N/A,,,,
SUNY Erie Community College,New York,N/A,,,,
SUNY Farmingdale State College,New York,https://www.farmingdale.edu/institutional-research/publications.shtml,,,,
SUNY Fashion Institute of Technology,New York,https://www.fitnyc.edu/about/administration/academic-affairs/ire/data-and-reports.php,https://www.fitnyc.edu/documents/ire/cds-2022-2023.pdf,,,
SUNY Finger Lakes Community College,New York,N/A,,,,
SUNY Fredonia,New York,https://www.fredonia.edu/about/offices/institutional-research-assessment/common-data-set,,,,
SUNY Fulton-Montgomery Community College,New York,N/A,,,,
SUNY Genesee Community College ,New York,N/A,,,,
SUNY Geneseo,New York,https://www.geneseo.edu/ir/common_data_set,,,,
SUNY Herkimer County Community College,New York,N/A,,,,
SUNY Hudson Valley Community College,New York,N/A,,,,
SUNY Jamestown Community College ,New York,N/A,,,,
SUNY Jefferson Community College,New York,N/A,,,,
SUNY Maritime College,New York,N/A,,,,
SUNY Mohawk Valley Community College,New York,N/A,,,,
SUNY Monroe Community College ,New York,N/A,,,,
SUNY Morrisville,New York,N/A,,,,
SUNY Nassau Community College,New York,N/A,,,,
SUNY New Paltz,New York,https://www.newpaltz.edu/oir/facts_common.html,,,,
SUNY Niagara County Community College,New York,N/A,,,,
SUNY North Country Community College,New York,N/A,,,,
SUNY Old Westbury,New York,N/A,,,,
SUNY Oneonta,New York,https://suny.oneonta.edu/institutional-research/common-data-set,,,,
SUNY Onondaga Community College,New York,N/A,,,,
SUNY Orange County Community College,New York,N/A,,,,
SUNY Oswego,New York,https://www.oswego.edu/institutional-research/common-data-set-0,,,,
SUNY Plattsburgh,New York,N/A,,,,
SUNY Polytechnic Institute,New York,N/A,,,,
SUNY Potsdam,New York,https://www.potsdam.edu/about/administrative-offices/office-institutional-effectiveness/campus-statistics/common-data-set-cds,,,,
SUNY Purchase,New York,N/A,,,,
SUNY Rockland Community College,New York,N/A,,,,
SUNY Schenectady County Community College,New York,N/A,,,,
SUNY State College of Optometry,New York,N/A,,,,
SUNY Stony Brook University,New York,https://www.stonybrook.edu/commcms/irpe/fact_book/common_data_set/,,,,
SUNY Suffolk County Community College,New York,N/A,,,,
SUNY Sullivan County Community College,New York,N/A,,,,
SUNY Tompkins Cortland Community College,New York,N/A,,,,
SUNY Ulster County Community College,New York,N/A,,,,
SUNY University at Albany,New York,https://www.albany.edu/ir/data-available,,,,
SUNY University at Buffalo,New York,"https://www.buffalo.edu/oia/facts-publications/common-data-sets.html#:~:text=The%20Common%20Data%20Set%20(CDS,standard%20data%20items%20and%20definitions.",,,,
SUNY Upstate Medical University,New York,N/A,,,,
SUNY Westchester Community College,New York,https://www.sunywcc.edu/about/ir/facts-and-figures/,,,,
Swedish Institute College of Health Sciences,New York,N/A,,,,
Syracuse University,New York,https://institutionalresearch.syr.edu/key-data/,,,,
Talmudical Seminary Oholei Torah,New York,N/A,,,,
The Ailey School ,New York,N/A,,,,
The Belanger School of Nursing,New York,N/A,,,,
The New School ,New York,https://aspace.archives.newschool.edu/repositories/3/archival_objects/48842,,,,
Torah Teminah Talmudical Seminary,New York,N/A,,,,
Touro University,New York,https://www.touro.edu/departments/office-of-the-provost/institutional-research/,,,,
Trocaire College,New York,N/A,,,,
U.T.A. Mesivta-Kiryas Joel,New York,N/A,,,,
Union College,New York,https://www.union.edu/institutional-research/common-data-set-cds,,,,
Union Theological Seminary,New York,N/A,,,,
United State Military Academy West Point,New York,https://www.westpoint.edu/about/institutional-accreditation-and-assessment,,,,
United States Merchant Marine Academy,New York,N/A,,,,
United Talmudical Seminary,New York,N/A,,,,
University of Mount Saint Vincent,New York,N/A,,,,
University of Rochester,New York,https://www.rochester.edu/provost/university-data/about-institutional-research/university-of-rochester-common-data-set/,,,,
Utica University,New York,https://www.utica.edu/ir/cds.cfm,,,,
Vassar College,New York,https://offices.vassar.edu/institutional-research/data/,,,,
Vaughn College of Aeronautics and Technology,New York,https://www.vaughn.edu/about/student-consumer-information/,https://www.vaughn.edu/wp-content/uploads/2023/08/CDS_2022-2023.pdf,https://www.vaughn.edu/wp-content/uploads/2020/09/CDS_2021-2022.pdf,https://www.vaughn.edu/wp-content/uploads/2021/12/Common-Data-Set-2020-2021-.pdf,
Villa Maria College,New York,N/A,,,,
Wagner College,New York,https://wagner.edu/about/facts/reports/,,,,
Webb Institute,New York,N/A,,,,
Yeshiva and Kolel Bais Medrash Elyon,New York,N/A,,,,
Yeshiva and Kollel Harbotzas Torah,New York,N/A,,,,
Yeshiva Gedolah Zichron Moshe,New York,N/A,,,,
Yeshiva Karlin Stolin,New York,N/A,,,,
Yeshiva of Nitra,New York,N/A,,,,
Yeshiva of Rochester,New York,N/A,,,,
Yeshiva of the Telshe,New York,N/A,,,,
Yeshiva Rabbi Chaim Berlin,New York,N/A,,,,
Yeshiva Shaar Hatorah,New York,N/A,,,,
Yeshiva University,New York,https://www.yu.edu/sites/default/files/inline-files/CDS_2020-2021%20working%20revised%20%282%29.pdf,,,,
Yeshivas Chofetz Chaim,New York,N/A,,,,
Yeshivas Novominsk,New York,N/A,,,,
Yeshivath Viznitz,New York,N/A,,,,
Alamance Community College ,North Carolina,N/A,,,,
Appalachian State University,North Carolina,https://analytics.appstate.edu/info_inst_res,,,,
Asheville–Buncombe Technical Community College,North Carolina,N/A,,,,
Barber-Scotia College,North Carolina,N/A,,,,
Barton College,North Carolina,https://www.barton.edu/institutional-research/,,,,
Beaufort County Community College,North Carolina,N/A,,,,
Belmont Abbey College,North Carolina,N/A,,,,
Bennett College,North Carolina,N/A,,,,
Bladen Community College,North Carolina,N/A,,,,
Blue Ridge Community College,North Carolina,N/A,,,,
Brevard College,North Carolina,N/A,,,,
Brunswick Community College,North Carolina,N/A,,,,
Cabarrus College of Health Sciences,North Carolina,N/A,,,,
Caldwell Community College & Technical Institute,North Carolina,N/A,,,,
Campbell University,North Carolina,N/A,,,,
Cape Fear Community College,North Carolina,N/A,,,,
Carolina Christian College,North Carolina,N/A,,,,
Carolina College of Biblical Studies,North Carolina,N/A,,,,
Carolina University,North Carolina,N/A,,,,
Carolinas College of Health Sciences,North Carolina,N/A,,,,
Carteret Community College,North Carolina,N/A,,,,
Catawba College,North Carolina,https://www.catawba.edu/ir/,,,,
Catawba Valley Community College,North Carolina,N/A,,,,
Central Carolina Community College,North Carolina,N/A,,,,
Central Piedmont Community College,North Carolina,N/A,,,,
Charlotte Christian College and Theological Seminary,North Carolina,N/A,,,,
Chowan University,North Carolina,N/A,,,,
Cleveland Community College,North Carolina,N/A,,,,
Coastal Carolina Community College,North Carolina,N/A,,,,
College of the Albemarle,North Carolina,N/A,,,,
Craven Community College,North Carolina,N/A,,,,
Davidson College,North Carolina,https://www.davidson.edu/offices-and-services/institutional-effectiveness/common-data-set,,,,
Davidson County Community College,North Carolina,N/A,,,,
Duke University,North Carolina,https://provost.duke.edu/administrative-resources/institutional-research/,,,,
Durham Technical Community College,North Carolina,N/A,,,,
East Carolina University,North Carolina,https://ipar.ecu.edu/rsrch-public-ecu-data/,,,,
Edgecombe Community College,North Carolina,N/A,,,,
Elizabeth City State University,North Carolina,N/A,,,,
Elon University,North Carolina,https://www.elon.edu/u/administration/institutional-research/cds/,,,,
Fayetteville State University,North Carolina,N/A,,,,
Fayetteville Technical Community College,North Carolina,N/A,,,,
Forsyth Technical Community College,North Carolina,N/A,,,,
Gardner-Webb University,North Carolina,N/A,,,,
Gaston College,North Carolina,N/A,,,,
Greensboro College,North Carolina,N/A,,,,
Guilford College,North Carolina,https://www.guilford.edu/sites/default/files/2023-01/Guilford%20College%20Common%20Data%20Set%20Updated%201-24-23.pdf,,,,
Guilford Technical Community College,North Carolina,N/A,,,,
Halifax Community College,North Carolina,N/A,,,,
Haywood Community College,North Carolina,N/A,,,,
Heritage Bible College,North Carolina,N/A,,,,
High Point University,North Carolina,N/A,,,,
Hood Theological Seminary,North Carolina,N/A,,,,
Isothermal Community College,North Carolina,N/A,,,,
James Sprunt Community College,North Carolina,N/A,,,,
Johnson & Wales University,North Carolina,N/A,,,,
Johnson C. Smith University,North Carolina,"https://www.jcsu.edu/%252523dummy/who-we-are/statistics/common-data-set#:~:text=The%20Common%20Data%20Set%20(CDS,be%20made%20among%20various%20institutions.",,,,
Johnston Community College,North Carolina,N/A,,,,
Lees-McRae College,North Carolina,N/A,,,,
Lenoir Community College,North Carolina,N/A,,,,
Lenoir–Rhyne University,North Carolina,https://www.lr.edu/institutional-research,,,,
Livingstone College,North Carolina,N/A,,,,
Louisburg College,North Carolina,N/A,,,,
Manna University,North Carolina,N/A,,,,
Mars Hill University,North Carolina,N/A,,,,
Martin Community College,North Carolina,N/A,,,,
Mayland Community College,North Carolina,N/A,,,,
McDowell Technical Community College,North Carolina,N/A,,,,
Meredith College,North Carolina,N/A,,,,
Methodist University,North Carolina,N/A,,,,
Mid-Atlantic Christian University,North Carolina,N/A,,,,
Mitchell Community College ,North Carolina,N/A,,,,
Montgomery Community College,North Carolina,N/A,,,,
Montreat College,North Carolina,N/A,,,,
Nash Community College,North Carolina,N/A,,,,
North Carolina A&T State University,North Carolina,https://www.ncat.edu/provost/ospie/analytics/common-data-sets.php,,,,
North Carolina Central University,North Carolina,https://www.nccu.edu/oira/institutional-studies,,,,
North Carolina State University,North Carolina,https://uda.isa.ncsu.edu/institutional-analytics/common-data-set/,,,,
North Carolina Wesleyan University,North Carolina,N/A,,,,
Pamlico Community College,North Carolina,N/A,,,,
Pfeiffer University,North Carolina,N/A,,,,
Piedmont Community College,North Carolina,N/A,,,,
Pitt Community College ,North Carolina,N/A,,,,
Queens University of Charlotte,North Carolina,https://www.queens.edu/president/visualizing-queens-data/,,,,
Randolph Community College,North Carolina,N/A,,,,
Richmond Community College,North Carolina,N/A,,,,
Roanoke–Chowan Community College,North Carolina,N/A,,,,
Robeson Community College,North Carolina,N/A,,,,
Rockingham Community College,North Carolina,N/A,,,,
Rowan–Cabarrus Community College,North Carolina,N/A,,,,
Saint Augustine's University,North Carolina,https://www.st-aug.edu/institutional-data/#common-data-sets,,,,
Salem College,North Carolina,N/A,,,,
Sampson Community College,North Carolina,N/A,,,,
Sandhills Community College,North Carolina,N/A,,,,
Shaw University,North Carolina,N/A,,,,
Shepherds Theological Seminary,North Carolina,N/A,,,,
South Piedmont Community College,North Carolina,N/A,,,,
Southeastern Baptist Theological Seminary,North Carolina,N/A,,,,
Southeastern Community College,North Carolina,N/A,,,,
Southeastern Free Will Baptist College,North Carolina,N/A,,,,
Southwestern Community College,North Carolina,N/A,,,,
St. Andrews University,North Carolina,N/A,,,,
Stanly Community College,North Carolina,N/A,,,,
Surry Community College,North Carolina,N/A,,,,
Tri-County Community College,North Carolina,N/A,,,,
University of Mount Olive,North Carolina,N/A,,,,
University of North Carolina Asheville,North Carolina,https://irep.unca.edu/publications/common-data-set/,,,,
University of North Carolina Chapel Hill,North Carolina,https://oira.unc.edu/reports/reports-archives/common-data-set/,,,,
University of North Carolina Charlotte ,North Carolina,https://ir.charlotte.edu/home/common-data-set/,,,,
